,Datetime,Tweet Id,original_text,id_x,id_y,name,place_type,full_name,country,bounding_box,centroid
42,2022-03-03 17:32:41+00:00,1499437619838599177,After ranting about how my next malaria medication I'll take injections well look who's swallowing pills now 🥺,00736090135e4335,00736090135e4335,Taraba,admin,"Taraba, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[9.1311069, 6.5091563], [9.1311069, 9.5837901], [11.9234113, 9.5837901], [11.9234113, 6.5091563], [9.1311069, 6.5091563]]]}","[10.393383076318857, 8.045866]"
31,2022-03-06 07:51:18+00:00,1500378472593694721,Better wake up and take your malaria drugs 🙄 https://t.co/u70yJogaVw,00e6e55734393bdb,00e6e55734393bdb,Anambra,admin,"Anambra, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.6356497, 5.7092317], [6.6356497, 6.7805232], [7.3681931, 6.7805232], [7.3681931, 5.7092317], [6.6356497, 5.7092317]]]}","[6.942701929850345, 6.24467875]"
30,2022-03-07 01:20:05+00:00,1500642410686259204,"Dear @AzmanAir, kindly include anti-malaria Drugs alongside the Snack pack at the end of your trip. I'm sure Amongst the passengers that boarded Kano-abuja 6:30pm flight some will fall sick.",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
29,2022-03-07 13:17:02+00:00,1500822836402954245,"Went to the first hospital to confirm my malaria has gone. Turns out +2. I go to another hospital to confirm. Turns out negative. I call the first to run it again, they do it again and it’s +2. Who do I believe? 🤦🏽‍♂️",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
27,2022-03-07 20:58:50+00:00,1500939049221201921,"The ES, KTPHCDA and @DanjaUmar supervising community mobilization on ITN distribution campaign in Matazu LGA, Katsina State. They are working tirelessly to see @SFHNigeria, @CatholicRelief, KTSG &amp; @NMEPNigeria end malaria in Katsina State through ITN mass Campaign.

📷 @DanjaUmar https://t.co/d9kp9s07cW",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
26,2022-03-07 21:27:15+00:00,1500946202438864897,"Many keep treating typhoid in this country without knowing how they even got infected in the first place..small fever : na Typhoid and malaria...okay, how you take get the Typhoid ?...#healthylifestyle #HealthyFood @chikano84850978 @ogechukwu_igwe @Mr_Pucca @ajuicygeorge https://t.co/gTl28yaUAz",01ca6d740243aa31,01ca6d740243aa31,Rivers,admin,"Rivers, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.351687, 4.3176116], [6.351687, 5.7275834], [7.5957889, 5.7275834], [7.5957889, 4.3176116], [6.351687, 4.3176116]]]}","[6.831420614697573, 5.022698350000001]"
22,2022-03-08 11:22:33+00:00,1501156411836936192,"In commemoration of the #InternationalWomensDay2022.

I lend my voice to @ALMA_2030 in celebrating every woman mostly in the malaria-endemic countries like Nigeria.
.
.
.
Together, we shall #BreakTheBias. https://t.co/SUsZOiuA9c",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
17,2022-03-08 12:13:12+00:00,1501169159069126657,"Just curious,is Malaria a sexually Transmitted Disease?🧐",012d63e97ff5a7b5,012d63e97ff5a7b5,Jos,city,"Jos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[8.8337107, 9.8581086], [8.8337107, 9.9674885], [8.9389277, 9.9674885], [8.9389277, 9.8581086], [8.8337107, 9.8581086]]]}","[8.90206789603855, 9.91277745]"
14,2022-03-08 18:30:20+00:00,1501264066827878400,‘Malaria drug wey person dey buy N800-850 is now N2000-2500. The next mosquito I lay my hands on will feel the full force of this Buhari Regime!😠 ‘,00611f1548c7bdef,00611f1548c7bdef,Kano,city,"Kano, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[8.4475987, 11.9296331], [8.4475987, 12.0803669], [8.6073347, 12.0803669], [8.6073347, 11.9296331], [8.4475987, 11.9296331]]]}","[8.537218642359688, 12.00500315]"
13,2022-03-08 18:46:00+00:00,1501268008119021570,Malaria why now ....am seriously down,01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
12,2022-03-08 19:49:13+00:00,1501283917612998656,"For someone who's just recovering from typhoid and malaria to queue for fuel for two hours. It got to my turn, they said they're not selling again. Almost an hour late for my night dose. I'm stucked here cos cars won't move. Sighs!!!🤢",009c390b0b5a23de,009c390b0b5a23de,Bauchi,city,"Bauchi, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[9.7666314, 10.2648577], [9.7666314, 10.3670244], [9.8844173, 10.3670244], [9.8844173, 10.2648577], [9.7666314, 10.2648577]]]}","[9.819798377910818, 10.3167094]"
10,2022-03-08 23:55:21+00:00,1501345860734623749,I’ll just have to treat malaria at this point,00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
6,2022-03-09 08:43:13+00:00,1501478704291192833,Bro in 1 month Malaria+ 2 x 2 times. Sometimes we just need a break. I think I will join Mr. President and go and check myself. I’m tired. You should do the same. https://t.co/dbJzZMU4Hn,00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
3,2022-03-10 08:11:20+00:00,1501833068373753858,"Epenwah in five months one boy will deny, malaria and vomiting will come through, you will add weight,you will want to select food but nobody to make smir smir for so better see your period and face front oh https://t.co/L5AjnsfNwP",0008cb6457ff0b55,0008cb6457ff0b55,Port Harcourt,city,"Port Harcourt, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.9380658, 4.7337699], [6.9380658, 4.9154902], [7.1244854, 4.9154902], [7.1244854, 4.7337699], [6.9380658, 4.7337699]]]}","[7.01751959342015, 4.82465265]"
2,2022-03-10 08:16:16+00:00,1501834308813836289,"I think I'm the only person that can never do drugs, because common malaria medicine self is a struggle for me 😂",005dbe7e6949db42,005dbe7e6949db42,Benin-City,city,"Benin-City, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[5.5532952, 6.2445092], [5.5532952, 6.4254003], [5.7292806, 6.4254003], [5.7292806, 6.2445092], [5.5532952, 6.2445092]]]}","[5.606786824355883, 6.3349088]"
86,2022-03-11 11:03:17+00:00,1502238729011929092,Malaria with a touch of twins 👯‍♂️ https://t.co/zHqpNuCyG6,0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
85,2022-03-11 13:18:37+00:00,1502272783971139585,"Iwo NYSC Medical CDS OUTREACH

*SUMMARY*
The outreach drew 257 person's -80 men &amp; 171 women. BMI, Malaria parasite testing, HIV testing and blood sugar level testing were performed while medications were given. 

This was done in accordance with #SDG3
#volunteering #CommunityDev https://t.co/EuoCOICPUh",006268ad653506e5,006268ad653506e5,Osun,admin,"Osun, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[4.0274778, 6.9780072], [4.0274778, 8.1110107], [5.0845742, 8.1110107], [5.0845742, 6.9780072], [4.0274778, 6.9780072]]]}","[4.543812425338991, 7.5407016]"
81,2022-03-11 16:07:34+00:00,1502315301651820555,"Ladies, I can never understand the hype behind Guinness stout..

Shit issa malaria herb 🤮🤮.

Put it in your mouth and the taste is staying with you for eternity 😫😫",013eb8960d1d072a,013eb8960d1d072a,Nekede,city,"Nekede, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.0233352, 5.4247694], [7.0233352, 5.4492941], [7.0380488, 5.4492941], [7.0380488, 5.4247694], [7.0233352, 5.4247694]]]}","[7.032171007664797, 5.437117649999999]"
80,2022-03-11 22:17:36+00:00,1502408424075804673,Drogba Malaria recovery type beat by Chelsea today,01c46739344ba9f6,01c46739344ba9f6,Federal Capital Territory,admin,"Federal Capital Territory, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.7786135, 8.4504401], [6.7786135, 9.4345273], [7.7274781, 9.4345273], [7.7274781, 8.4504401], [6.7786135, 8.4504401]]]}","[7.186988802142225, 8.93077985]"
79,2022-03-12 09:37:09+00:00,1502579438378274818,"N37,000 for malaria treatment... .na snake bite me?",59b27337f38d658b,59b27337f38d658b,Nigeria,country,Nigeria,Nigeria,"{'type': 'Polygon', 'coordinates': [[[2.6654364, 4.1974055], [2.6654364, 13.8881151], [14.6777951, 13.8881151], [14.6777951, 4.1974055], [2.6654364, 4.1974055]]]}","[7.822704037915037, 9.04266935]"
78,2022-03-12 11:39:10+00:00,1502610143527071744,Jay Jay is on Malaria drug advert too. Nice one.,01f06d712cfceb2f,01f06d712cfceb2f,Addo,city,"Addo, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.5750048, 6.4825679], [3.5750048, 6.5127935], [3.6243404, 6.5127935], [3.6243404, 6.4825679], [3.5750048, 6.4825679]]]}","[3.6005172925073072, 6.4978221000000005]"
73,2022-03-13 10:35:19+00:00,1502956462997389314,"The day I met Diya i never knew he was a nice person. Not until we became close, I told him I was having malaria and he sent me 500k. I was shocked, I’m get to get over the shock when he sent 300k for Karen’s birthday. That was when I knew he was just real. God bless him",01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
63,2022-03-14 17:06:47+00:00,1503417367103221771,I hate Malaria. I hate being sick.😭😭😭,0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
62,2022-03-14 21:03:10+00:00,1503476857009750025,"My malaria🤝weight loss. 
😭😭😭😭😭😭",0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
48,2022-03-15 20:16:38+00:00,1503827535477497858,"This morning I ate and remained 2 pieces of meat;
This evening I ate and remained fish.
That’s how I know this malaria is really serious 😞😞😞",01a2d3e42a909c72,01a2d3e42a909c72,Sangotedo,city,"Sangotedo, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.6025336, 6.4659707], [3.6025336, 6.4808592], [3.6405344, 6.4808592], [3.6405344, 6.4659707], [3.6025336, 6.4659707]]]}","[3.6211738309817236, 6.47365095]"
46,2022-03-17 03:44:46+00:00,1504302696844693508,May we not be awake when malaria medicine is working in our body 🤦🏽‍♂️,011a942e0a0e8fb2,011a942e0a0e8fb2,Lagos,admin,"Lagos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[2.7063037, 6.3703877], [2.7063037, 6.6985461], [4.350022, 6.6985461], [4.350022, 6.3703877], [2.7063037, 6.3703877]]]}","[3.711223629931398, 6.534464]"
135,2022-03-17 17:09:23+00:00,1504505184910721030,What's that thing Malaria does to your mouth😵🤢called,006c6743642cb09c,006c6743642cb09c,Kaduna,city,"Kaduna, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3566227, 10.4252617], [7.3566227, 10.5972283], [7.4880222, 10.5972283], [7.4880222, 10.4252617], [7.3566227, 10.4252617]]]}","[7.423609391847825, 10.5112406]"
133,2022-03-17 19:21:29+00:00,1504538429614346240,"Am having a vision of delicious dinner, is it malaria or sapa ???",01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
132,2022-03-17 19:32:30+00:00,1504541201663508480,"Hmm my dear, is any of us even Fine like this? Can you imagine that I also just treated Malaria, no light, no fuel, no money. Omo!! May God heal us all https://t.co/VwgvPg5TFj",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
130,2022-03-17 19:59:28+00:00,1504547989150392324,"Mental Health information is still at the back sit in health knowledge classroom especially in Nigeria. 

Until average Nigerian should be able to relate with depression as they do to malaria, we still have a lot to do. 

#MentalHealthAwareness",0084f5bb370feb84,0084f5bb370feb84,Ondo,city,"Ondo, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[4.8192228, 7.0485089], [4.8192228, 7.1200085], [4.8756339, 7.1200085], [4.8756339, 7.0485089], [4.8192228, 7.0485089]]]}","[4.834129580421695, 7.0841998]"
128,2022-03-18 07:07:32+00:00,1504716115901046806,"So last night, in my dreams, I got to find out that Omah Lay was my cousin from my PH side and my man was a spitting replica of Mawuli Gavor.🤕

At this point, I don't think I need a medical test to tell me I have Malaria.🤒🤧",00817d75276a95cf,00817d75276a95cf,Lagos,city,"Lagos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.2131467, 6.4278856], [3.2131467, 6.5583389], [3.4640641, 6.5583389], [3.4640641, 6.4278856], [3.2131467, 6.4278856]]]}","[3.353965876125497, 6.49309225]"
125,2022-03-18 15:28:30+00:00,1504842188374618112,"Congratulations @HenshawKate 

We're kicking malaria out. https://t.co/ft7Uclzxnj",01e272024ddb6128,01e272024ddb6128,Oshogbo,city,"Oshogbo, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[4.473474, 7.7240979], [4.473474, 7.8499733], [4.6143238, 7.8499733], [4.6143238, 7.7240979], [4.473474, 7.7240979]]]}","[4.543037027653439, 7.787027849999999]"
123,2022-03-18 18:10:01+00:00,1504882833483046915,"Gone are the days when we pray to God to make us sick just to avoid going to school or even church....Now we get struck with sickness worst than malaria and typhoid, now we pray and wish we NEVER get sick EVER again ✖️✖️❌",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
119,2022-03-19 07:39:48+00:00,1505086622559318017,"Congratulations to you Ma @HenshawKate on your endorsement with Mortein to fight and eradicate Malaria. Mortein! The Best Insecticide...
Tested and Trusted👍✅💪 this is how you will be smiling. https://t.co/mInkLgugH5",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
113,2022-03-20 19:04:29+00:00,1505621315591581701,"Statehouse of assembly member and your achievement is free jamb form for 100s of students and some malaria and blood sugar test in the name of health screenings.
Oh and sponsoring and football competition 😡😡",00817d75276a95cf,00817d75276a95cf,Lagos,city,"Lagos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.2131467, 6.4278856], [3.2131467, 6.5583389], [3.4640641, 6.5583389], [3.4640641, 6.4278856], [3.2131467, 6.4278856]]]}","[3.353965876125497, 6.49309225]"
112,2022-03-20 23:03:46+00:00,1505681533557874699,"NEPA DEY BEG FOR GEN,
THEM SAY THEIR LIGHT DON SPOIL!🇳🇬😂
MALARIA CHOKE FOR TOWN WE NO FIT AFFORD TO BUY MOSQUITO COIL!😓
CHECK THE FUEL MONEY WE GO START DEY DRIVE WITH ANNOINTING OIL😭 
#Arise(BUBU) OutNow 🇳🇬💯
https://t.co/BP1DWMIWHV",012d63e97ff5a7b5,012d63e97ff5a7b5,Jos,city,"Jos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[8.8337107, 9.8581086], [8.8337107, 9.9674885], [8.9389277, 9.9674885], [8.9389277, 9.8581086], [8.8337107, 9.8581086]]]}","[8.90206789603855, 9.91277745]"
107,2022-03-22 09:29:09+00:00,1506201304183496704,"Woke up this morning with a blocked nose and sore throat 😞
Lord pls heal me before this illness graduates to malaria 🙏🏾",01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
105,2022-03-22 14:13:20+00:00,1506272820850012160,"Don’t be a dummy…avoid malaria

Call JOPAG-HEP today!

#fumigationinabuja #hotelsinabuja #hospitalsinabuja #malariacontrol #pestcontrol #pestcontrolservice @ Abuja, Nigeria https://t.co/j74Hs765P0",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
103,2022-03-22 19:38:31+00:00,1506354658486648840,You'll be on your own jejely and malaria will come out of nowhere and be like https://t.co/R6SDexGZsa,006c6743642cb09c,006c6743642cb09c,Kaduna,city,"Kaduna, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3566227, 10.4252617], [7.3566227, 10.5972283], [7.4880222, 10.5972283], [7.4880222, 10.4252617], [7.3566227, 10.4252617]]]}","[7.423609391847825, 10.5112406]"
102,2022-03-22 20:01:06+00:00,1506360340426207236,"So we have been down with malaria for a few days now.... It breaks my heart everytime my toddler says ' mama, I am tired'.... my poor baby..Pele oko mi, I pray you get better soon... I hate not seeing your bright shinny eyes looking back at me ,all mischievous...",011a942e0a0e8fb2,011a942e0a0e8fb2,Lagos,admin,"Lagos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[2.7063037, 6.3703877], [2.7063037, 6.6985461], [4.350022, 6.6985461], [4.350022, 6.3703877], [2.7063037, 6.3703877]]]}","[3.711223629931398, 6.534464]"
100,2022-03-23 08:45:33+00:00,1506552721406664711,"Not All Headache Is Malaria Or Fever 🙄

When Last Did You Çúm💦?🥺🥱🤧🤸
#Oshimen #AtikuDeclaration #AshewoSpace https://t.co/jn1smJrZL0",01ca6d740243aa31,01ca6d740243aa31,Rivers,admin,"Rivers, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.351687, 4.3176116], [6.351687, 5.7275834], [7.5957889, 5.7275834], [7.5957889, 4.3176116], [6.351687, 4.3176116]]]}","[6.831420614697573, 5.022698350000001]"
99,2022-03-23 08:52:19+00:00,1506554421458649089,Not every symptoms is a sign of malaria 😏my sis/bro when last do u eat suya or balangu😎,012d63e97ff5a7b5,012d63e97ff5a7b5,Jos,city,"Jos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[8.8337107, 9.8581086], [8.8337107, 9.9674885], [8.9389277, 9.9674885], [8.9389277, 9.8581086], [8.8337107, 9.8581086]]]}","[8.90206789603855, 9.91277745]"
92,2022-03-23 21:25:17+00:00,1506743914186817536,"The COVID Vaccine felt like Malaria at first but I can confidently tell you that my immune system was boosted immensely. I've taken two doses, looking forward to the booster shot",011a942e0a0e8fb2,011a942e0a0e8fb2,Lagos,admin,"Lagos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[2.7063037, 6.3703877], [2.7063037, 6.6985461], [4.350022, 6.6985461], [4.350022, 6.3703877], [2.7063037, 6.3703877]]]}","[3.711223629931398, 6.534464]"
183,2022-03-27 09:55:16+00:00,1508019816329879554,"Eradicating malaria has been a major global and public health objective for decades.

Thank you @USAIDNigeria @USAID  @PMIgov @NMEPNigeria @pans_unijos
@UN_SDG https://t.co/HayRJ3JQWI
For your support https://t.co/pTfmyQNqLm",012d63e97ff5a7b5,012d63e97ff5a7b5,Jos,city,"Jos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[8.8337107, 9.8581086], [8.8337107, 9.9674885], [8.9389277, 9.9674885], [8.9389277, 9.8581086], [8.8337107, 9.8581086]]]}","[8.90206789603855, 9.91277745]"
182,2022-03-27 11:46:04+00:00,1508047698078928898,"Person pay 3k for sex video call?

Like what was he trying to achieve
She will be touching herself and you will be wanking?
Like there are Olosho wey go collect 3k, bang you well

Must be ment or malaria +++++",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
161,2022-03-29 19:39:25+00:00,1508891598985338884,From the minute Partey scored till the final minutes my bp shoot up and now am treating malaria. Super Eagles una no try o. https://t.co/KBGaZTYfIU,07d9d6d6aa081000,07d9d6d6aa081000,Maiduguri,poi,Maiduguri,Nigeria,"{'type': 'Polygon', 'coordinates': [[[13.139848878074059, 11.833402499784375], [13.139848878074059, 11.833402499784375], [13.139848878074059, 11.833402499784375], [13.139848878074059, 11.833402499784375], [13.139848878074059, 11.833402499784375]]]}","[13.139848878074059, 11.833402499784375]"
159,2022-03-29 21:56:47+00:00,1508926167079870479,Haven't jerked off in three days because of Malaria but tonight is the night!!!,00817d75276a95cf,00817d75276a95cf,Lagos,city,"Lagos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.2131467, 6.4278856], [3.2131467, 6.5583389], [3.4640641, 6.5583389], [3.4640641, 6.4278856], [3.2131467, 6.4278856]]]}","[3.353965876125497, 6.49309225]"
157,2022-03-29 22:41:30+00:00,1508937420850487301,"The more I get dehydrated, the more my malaria gets severe 😭🤢",01cba65c41c20b24,01cba65c41c20b24,Ilorin,city,"Ilorin, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[4.4752509, 8.4145568], [4.4752509, 8.5453022], [4.6252965, 8.5453022], [4.6252965, 8.4145568], [4.4752509, 8.4145568]]]}","[4.559020728369256, 8.48001865]"
143,2022-03-30 13:41:37+00:00,1509163942668652554,Better just go and do that malaria test atp,01c46739344ba9f6,01c46739344ba9f6,Federal Capital Territory,admin,"Federal Capital Territory, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.7786135, 8.4504401], [6.7786135, 9.4345273], [7.7274781, 9.4345273], [7.7274781, 8.4504401], [6.7786135, 8.4504401]]]}","[7.186988802142225, 8.93077985]"
142,2022-03-30 14:23:06+00:00,1509174380768772099,"No one persuades us to buy the malaria drug when we get infected, but they need to convince us to buy mosquito net or insecticides.  

That's why people spend more money on cure than prevention.",0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
141,2022-03-30 19:57:26+00:00,1509258521980071936,"Only me battling with Acne, malaria and catarrh 🤢🤧",011a942e0a0e8fb2,011a942e0a0e8fb2,Lagos,admin,"Lagos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[2.7063037, 6.3703877], [2.7063037, 6.6985461], [4.350022, 6.6985461], [4.350022, 6.3703877], [2.7063037, 6.3703877]]]}","[3.711223629931398, 6.534464]"
140,2022-03-30 19:57:53+00:00,1509258633409933314,See as one + malaria came like I had  +++ cause of stress.😪😪😪,00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
139,2022-03-31 01:51:31+00:00,1509347629603475467,"Men could literally be shaking on the bed due to malaria but will still find the strength for ""tatata"" even with said malaria.",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
138,2022-03-31 07:44:31+00:00,1509436464496586752,"Good morning mutuals, one of my female friends posted on her status that said she saw Rihanna borrow her power bank in her dream, and I replied that she should treat malaria. What did I do bad?, lọ́rọ̀kan shá she don block me. 😂😂
#OAUTwitter",006268ad653506e5,006268ad653506e5,Osun,admin,"Osun, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[4.0274778, 6.9780072], [4.0274778, 8.1110107], [5.0845742, 8.1110107], [5.0845742, 6.9780072], [4.0274778, 6.9780072]]]}","[4.543812425338991, 7.5407016]"
240,2022-04-01 06:03:07+00:00,1509773334984249348,Oh yeah turns out I Hv malaria ++ too,01c46739344ba9f6,01c46739344ba9f6,Federal Capital Territory,admin,"Federal Capital Territory, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.7786135, 8.4504401], [6.7786135, 9.4345273], [7.7274781, 9.4345273], [7.7274781, 8.4504401], [6.7786135, 8.4504401]]]}","[7.186988802142225, 8.93077985]"
